45.7884 	EXP 	window1: blendMode = 'avg'
45.8049 	EXP 	window1: blendMode = 'avg'
45.8217 	EXP 	window1: blendMode = 'avg'
45.8386 	EXP 	window1: blendMode = 'avg'
45.8588 	DATA 	Keypress: 4
45.8607 	EXP 	window1: blendMode = 'avg'
45.8706 	EXP 	hand: pos = (-160.0, 0.0)
45.8718 	EXP 	window1: blendMode = 'avg'
45.8885 	EXP 	window1: blendMode = 'avg'
45.9051 	EXP 	window1: blendMode = 'avg'
45.9218 	EXP 	window1: blendMode = 'avg'
45.9386 	EXP 	window1: blendMode = 'avg'
45.9554 	EXP 	window1: blendMode = 'avg'
45.9716 	EXP 	window1: blendMode = 'avg'
45.9903 	DATA 	Keypress: 1
45.9914 	EXP 	window1: blendMode = 'avg'
46.0040 	EXP 	hand: pos = (-160.0, 80.0)
46.0051 	EXP 	window1: blendMode = 'avg'
46.0216 	EXP 	window1: blendMode = 'avg'
46.0384 	EXP 	window1: blendMode = 'avg'
46.0552 	EXP 	window1: blendMode = 'avg'
46.0719 	EXP 	window1: blendMode = 'avg'
46.0901 	DATA 	Keypress: 4
46.0911 	EXP 	window1: blendMode = 'avg'
46.1040 	EXP 	hand: pos = (-240.0, 80.0)
46.1052 	EXP 	window1: blendMode = 'avg'
46.1214 	EXP 	window1: blendMode = 'avg'
46.1384 	EXP 	window1: blendMode = 'avg'
46.1553 	EXP 	window1: blendMode = 'avg'
46.1719 	EXP 	window1: blendMode = 'avg'
46.1879 	EXP 	window1: blendMode = 'avg'
46.2086 	DATA 	Keypress: 1
46.2108 	EXP 	window1: blendMode = 'avg'
46.2206 	EXP 	hand: pos = (-240.0, 160.0)
46.2216 	EXP 	window1: blendMode = 'avg'
46.2383 	EXP 	window1: blendMode = 'avg'
46.2552 	EXP 	window1: blendMode = 'avg'
46.2718 	EXP 	window1: blendMode = 'avg'
46.2884 	EXP 	window1: blendMode = 'avg'
46.3051 	EXP 	window1: blendMode = 'avg'
46.3218 	EXP 	window1: blendMode = 'avg'
46.3385 	EXP 	window1: blendMode = 'avg'
46.3551 	EXP 	window1: blendMode = 'avg'
46.3718 	EXP 	window1: blendMode = 'avg'
